,log loss,accuracy,val_log loss,val_accuracy,step,gamma,lr,weight_decay,batch_size
0,0.0298,0.9951,0.3643,0.8943,0,0.97,0.05,0.001,128
1,0.0695,0.9825,0.472,0.8613,35,0.97,0.05,0.001,128
2,0.1588,0.9524,0.5302,0.8321,70,0.97,0.05,0.001,128
3,0.2465,0.919,0.5652,0.8124,105,0.97,0.05,0.001,128
