,log loss,accuracy,val_log loss,val_accuracy,step,gamma,lr,weight_decay,batch_size
0,0.029,0.9951,0.3674,0.8922,0,0.97,0.05,0.001,128
1,0.0269,0.9961,0.3777,0.8902,35,0.97,0.05,0.001,128
2,0.0259,0.9965,0.3671,0.8937,70,0.97,0.05,0.001,128
3,0.0265,0.9962,0.3757,0.8919,105,0.97,0.05,0.001,128
4,0.0263,0.9963,0.3867,0.8946,140,0.97,0.05,0.001,128
