,log loss,accuracy,val_log loss,val_accuracy,step,gamma,lr,weight_decay,batch_size
0,0.0027,1.0,0.0534,0.9832,0,0.97,0.05,0.001,128
1,0.0024,1.0,0.0558,0.982,80,0.97,0.05,0.001,128
2,0.016,0.9989,0.0736,0.9775,160,0.97,0.05,0.001,128
3,0.0982,0.972,0.1286,0.9615,240,0.97,0.05,0.001,128
4,0.2294,0.9295,0.2364,0.9273,320,0.97,0.05,0.001,128
5,0.3652,0.8862,0.3615,0.8893,400,0.97,0.05,0.001,128
