,log loss,accuracy,val_log loss,val_accuracy,step,gamma,lr,weight_decay,batch_size
0,0.0296,0.9955,0.3557,0.894,0,0.97,0.05,0.001,128
1,0.1046,0.9694,0.4191,0.8691,35,0.97,0.05,0.001,128
2,0.2492,0.9167,0.4658,0.8468,70,0.97,0.05,0.001,128
3,0.4854,0.8343,0.6099,0.795,105,0.97,0.05,0.001,128
4,0.7963,0.7227,0.8715,0.6982,140,0.97,0.05,0.001,128
