,log loss,accuracy,val_log loss,val_accuracy,step,gamma,lr,weight_decay,batch_size
0,0.0848,0.9783,0.4919,0.8493,0,0.97,0.05,0.001,128
1,0.0762,0.9806,0.3567,0.8905,20,0.97,0.05,0.001,128
2,0.079,0.9795,0.3369,0.8948,40,0.97,0.05,0.001,128
3,0.0694,0.9838,0.3175,0.8948,60,0.97,0.05,0.001,128
4,0.061,0.9871,0.3234,0.893,80,0.97,0.05,0.001,128
