,log loss,accuracy,val_log loss,val_accuracy,step,gamma,lr,weight_decay,batch_size
0,0.0296,0.9953,0.3764,0.8929,0,0.97,0.05,0.001,128
1,0.0431,0.9916,0.3775,0.8862,35,0.97,0.05,0.001,128
2,0.0951,0.9736,0.3823,0.8809,70,0.97,0.05,0.001,128
3,0.189,0.9357,0.4165,0.8619,105,0.97,0.05,0.001,128
4,0.3134,0.892,0.48,0.8401,140,0.97,0.05,0.001,128
