,log loss,accuracy,val_log loss,val_accuracy,step,gamma,lr,weight_decay,batch_size
0,0.0294,0.9947,0.3795,0.8912,0,0.97,0.05,0.001,128
1,0.077,0.9805,0.3804,0.8815,35,0.97,0.05,0.001,128
2,0.2191,0.9316,0.4144,0.8554,70,0.97,0.05,0.001,128
3,0.4542,0.8523,0.5587,0.8107,105,0.97,0.05,0.001,128
4,0.7667,0.7454,0.8135,0.7197,140,0.97,0.05,0.001,128
